Asset,Decision,ReStory fit / office role,Triangles,UVs,Material variants needed
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Pipes_03.prefab,Selected,Portal service; use shared painted material treatment and measured placement,1074,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Sun.prefab,Not selected,Baked/fake lighting conflicts with dynamic day lighting,8,True,Glow_Low; Glow_Strong; Sun
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_0.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_1.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_2.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_3.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_4.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_5.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_6.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_7.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_8.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Num_9.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Sign_Caution_01.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Sign_Caution_02.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Sign_Danger_01.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Sign_Danger_02.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Symb_Arrow.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Area.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Deck.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Exit.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Lab.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Level.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Tech.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Warning.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Symbols/Word_Zone.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,HD_Alpha_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Column_01_Big.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",292,True,HD_Wall_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Porthole_01_Long.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",312,True,HD_Wall_12_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Bed_01.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",301,True,HD_Stuff_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Console_01_Half.prefab,Selected,Portal service; use shared painted material treatment and measured placement,238,True,HD_Stuff_02_Norm; HUD_Screen_02
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Console_01_Large.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,478,True,HD_Stuff_02_Norm; HUD_Screen_01; HUD_Screen_02
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_01_Coin.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,37,True,HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_01_Flat.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,10,True,HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_01_Invert.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,68,True,HD_Wall_02_Norm; HD_Wall_03_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_01_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,26,True,HD_Wall_02_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_01_Round.prefab,Selected,Portal service; use shared painted material treatment and measured placement,68,True,HD_Wall_02_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_01_Thin.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,26,True,HD_Wall_03_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Cube_02_Flat.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,10,True,HD_Wall_02_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Down_01_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,48,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_05_Norm; HD_Wall_07_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Gear_01_Half.prefab,Selected,Portal service; use shared painted material treatment and measured placement,372,True,HD_Alpha_01_Norm; HD_Stuff_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Gear_02_Half.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,610,True,HD_Stuff_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Gear_03_Half.prefab,Selected,Portal service; use shared painted material treatment and measured placement,96,True,HD_Stuff_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_Coin.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,58,True,HD_Wall_06_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_CoinLeft.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,90,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_08_Norm; HD_Wall_10_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_CoinLeft_Half.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,90,True,HD_Wall_04_Norm; HD_Wall_06_Norm; HD_Wall_09_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_CoinRight.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,90,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_08_Norm; HD_Wall_10_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_CoinRight_Half.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,90,True,HD_Wall_04_Norm; HD_Wall_06_Norm; HD_Wall_09_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_Half.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,90,True,HD_Wall_04_Norm; HD_Wall_06_Norm; HD_Wall_09_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_01_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,90,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_06_Norm; HD_Wall_08_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_02_Coin.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,316,True,HD_Wall_02_Norm; HD_Wall_08_Norm; HD_Wall_10_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_02_CoinLeft.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,330,True,HD_Wall_01_Norm; HD_Wall_08_Norm; HD_Wall_10_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_02_CoinRight.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,330,True,HD_Wall_01_Norm; HD_Wall_08_Norm; HD_Wall_10_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Inclined_02_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,330,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_06_Norm; HD_Wall_08_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Pipes_01_Large.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2430,True,HD_Alpha_01_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Pipes_02_Large.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2758,True,HD_Alpha_01_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_Coin.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,294,True,HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_Half.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,HD_Wall_02_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_InvertCoin.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,296,True,HD_Wall_02_Norm; HD_Wall_03_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,HD_Wall_01_Norm; HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_Squared.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,HD_Wall_02_Norm; HD_Wall_03_Norm; HD_Wall_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_TurnLarge_90.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1554,True,HD_Wall_01_Norm; HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_01_TurnShort_90.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,718,True,HD_Wall_01_Norm; HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_02_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_03_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_04_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,344,True,HD_Wall_01_Norm; HD_Wall_02_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Simple_05_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,476,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_11_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Table_01.prefab,Selected,Technical support; use shared painted material treatment and measured placement,232,True,HD_Stuff_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Walls/Wall_Up_01_Long.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,46,True,HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_05_Norm; HD_Wall_07_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Your_Hown_Prefabs/Corridor_Test_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",778,True,HD_Floor_01_Norm; HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Your_Hown_Prefabs/Corridor_Test_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1954,True,HD_Alpha_02_Norm; HD_Floor_01_Norm; HD_Floor_02_Norm; HD_Stuff_01_Norm; HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_03_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Your_Hown_Prefabs/Simple_Column_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1176,True,HD_Wall_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Your_Hown_Prefabs/Simple_Room_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",5426,True,HD_Alpha_02_Norm; HD_Floor_01_Norm; HD_Floor_02_Norm; HD_Stuff_01_Norm; HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_03_Norm; HD_Wall_04_Norm; HD_Wall_11_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Your_Hown_Prefabs/Simple_Room_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",9314,True,HD_Alpha_02_Norm; HD_Floor_01_Norm; HD_Floor_02_Norm; HD_Stuff_01_Norm; HD_Wall_01_Norm; HD_Wall_02_Norm; HD_Wall_03_Norm; HD_Wall_04_Norm; HD_Wall_11_Norm
Assets/80s_Office/Prefabs/Artwork/Artwork_A.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork1
Assets/80s_Office/Prefabs/Artwork/Artwork_B.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork1
Assets/80s_Office/Prefabs/Artwork/Artwork_C.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork1
Assets/80s_Office/Prefabs/Artwork/Artwork_D.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork1
Assets/80s_Office/Prefabs/Artwork/Artwork_E.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork2
Assets/80s_Office/Prefabs/Artwork/Artwork_F.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork2
Assets/80s_Office/Prefabs/Artwork/Artwork_G.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork2
Assets/80s_Office/Prefabs/Artwork/Artwork_H.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",12,True,MI_ArtWork7
Assets/80s_Office/Prefabs/Artwork/Sculpture.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",8208,True,MI_Sculpture
Assets/80s_Office/Prefabs/Artwork/Sculpture_Combined.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",11840,True,MI_Sculpture
Assets/80s_Office/Prefabs/Artwork/Sculpture_Cube.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",216,True,MI_Sculpture
Assets/80s_Office/Prefabs/Artwork/Sculpture_CubeWire.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",3632,True,MI_Sculpture
Assets/80s_Office/Prefabs/Artwork/Sculpture_RevPyramid.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",2270,True,MI_Sculpture
Assets/80s_Office/Prefabs/DoorLabels.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,0,True,LiberationSans SDF
Assets/80s_Office/Prefabs/Doors/Door_Elevator.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,8832,True,MI_ElevatorWalls; MI_Emissive; MI_Steel; MI_Walls; MI_Wood; MI_Wood_DarkBrown
Assets/80s_Office/Prefabs/Doors/Doors.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2172,True,MI_DoorParts; MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Doors/Doors_Glass.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2080,True,MI_DoorParts; MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Doors/Doors_Glass_Double.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,3832,True,MI_DoorParts; MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Doors/Doors_MetalWithKeylock.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4172,True,MI_DoorParts; MI_KeyLock; MI_Steel; MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Doors/Doors_WC.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1668,True,MI_Steel; MI_Walls; PlaceHolder_WC_Occupied; PlaceHolder_WC_Unoccupied
Assets/80s_Office/Prefabs/Electronics/Clock.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",1223,True,MI_Wallclock; MM_Glass
Assets/80s_Office/Prefabs/Electronics/Computer.prefab,Selected,Administration; use shared painted material treatment and measured placement,4416,True,MI_Computer; MI_ComputerScreen
Assets/80s_Office/Prefabs/Electronics/DeskFan.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",3820,True,MI_Steel; PlaceHolder_Graphite
Assets/80s_Office/Prefabs/Electronics/Fax.prefab,Selected,Administration; use shared painted material treatment and measured placement,6065,True,MI_Fax
Assets/80s_Office/Prefabs/Electronics/FuseBox.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",391,True,MI_Sockets
Assets/80s_Office/Prefabs/Electronics/Keyboard.prefab,Selected,Administration; use shared painted material treatment and measured placement,4550,True,MI_Keyboard
Assets/80s_Office/Prefabs/Electronics/Keyboard_Cables.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",5500,True,PlaceHolder_PlasticFrame_Dark
Assets/80s_Office/Prefabs/Electronics/Phone.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",5204,True,MI_Phone
Assets/80s_Office/Prefabs/Electronics/Projector.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2579,True,MI_Projector
Assets/80s_Office/Prefabs/Electronics/Server_A.prefab,Selected,Portal service; use shared painted material treatment and measured placement,1733,True,MI_EmmisiveButtons; MI_Server
Assets/80s_Office/Prefabs/Electronics/Server_B.prefab,Selected,Portal service; use shared painted material treatment and measured placement,1796,True,MI_EmmisiveButtons; MI_Server
Assets/80s_Office/Prefabs/Electronics/Server_C.prefab,Selected,Portal service; use shared painted material treatment and measured placement,31816,True,MI_EmmisiveButtons; MI_Server; PlaceHolder_PlasticFrame_Dark; PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Electronics/TapeRecorder.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",20848,True,MI_TapeRecorderDetail; MI_TapeRecorderSheet
Assets/80s_Office/Prefabs/Exterior/Exterior_ Decor_Slant.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,8,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_ Decor_SlantCorner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Block_2x5.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2492,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_Block_3x5.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,3660,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_Column_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,236,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_ColumnRect_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,44,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_Ledge_1m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,220,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Ledge_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,220,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Ledge_9m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,592,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Ledge_CornerInner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,376,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Ledge_CornerOuter.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,412,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Slab_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,44,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_Stairs_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,192,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_Stairs_9m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,358,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/Exterior_Wall_ 1x3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,12,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Wall_ 30cm.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,12,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Wall_ 3x3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,12,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Window_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,32,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Window_Small.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,52,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/Exterior_Window_Small_Extrusions.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,190,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,12,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock1.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,412,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock2.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,6108,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock3.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,52,True,MI_ConcreteRidges
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock4.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,344,True,MI_ConcreteSlab
